job_number,title,company,location,description,job_url,scraped_at
48,Data Scientist,Genpact,United States,"Genpact (NYSE: G) is a global professional services and solutions firm delivering outcomes that shape the future. Our 125,000+ people across 30+ countries are driven by our innate curiosity, entrepreneurial agility, and desire to create lasting value for clients. Powered by our purpose – the relentl...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4277673199&position=48&pageNum=0,2025-08-02 10:36:50
49,Data Scientist,Genpact,United States,"Genpact (NYSE: G) is a global professional services and solutions firm delivering outcomes that shape the future. Our 125,000+ people across 30+ countries are driven by our innate curiosity, entrepreneurial agility, and desire to create lasting value for clients. Powered by our purpose – the relentl...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4277505064&position=49&pageNum=0,2025-08-02 10:36:52
50,Data Scientist,Genpact,United States,"Genpact (NYSE: G) is a global professional services and solutions firm delivering outcomes that shape the future. Our 125,000+ people across 30+ countries are driven by our innate curiosity, entrepreneurial agility, and desire to create lasting value for clients. Powered by our purpose – the relentl...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4253930279&position=50&pageNum=0,2025-08-02 10:36:54
51,Machine Learning Engineer,Branch International,India,"Branch Overview

Branch delivers world-class financial services to the mobile generation. With offices in the United States, Nigeria, Kenya, and India, Branch is a for-profit socially conscious company that uses the power of data science to reduce the cost of delivering financial services in emergin...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4239024450&position=51&pageNum=0,2025-08-02 10:36:56
52,Pessoa Cientista de Dados Jr,BIP Brasil,Brazil,"Buscamos um cientista de dados com experiência que curta e busque todos os desafios que uma consultoria tem a oferecer: clientes diferentes, negócios diferentes e soluções diferentes a cada projeto, utilizando inteligência artificial no geral para trazer resultado para o cliente.

Para essa primeira...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4270117474&position=52&pageNum=0,2025-08-02 10:36:58
53,Machine Learning Engineer,Coforge,United States,"Requisition Title: Machine Learning Infrastructure Engineer

Location: 100% Remote

Duration: 6+ months Contract

LOOKING FOR Visa Independent/ W2 profiles

About the job

Company Description

Coforge is a global digital services and solutions provider, leveraging emerging technologies and deep doma...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4273237355&position=53&pageNum=0,2025-08-02 10:37:00
54,Machine Learning Engineer,Coforge,United States,"Requisition Title: Machine Learning Infrastructure EngineerLocation: 100% Remote Duration: 6+ months ContractLOOKING FOR Visa Independent/ W2 profiles  About the jobCompany DescriptionCoforge is a global digital services and solutions provider, leveraging emerging technologies and deep domain expert...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4277202322&position=54&pageNum=0,2025-08-02 10:37:02
55,Machine Learning Engineer,Coforge,United States,"Requisition Title: Machine Learning Infrastructure EngineerLocation: 100% Remote Duration: 6+ months ContractLOOKING FOR Visa Independent/ W2 profiles  About the jobCompany DescriptionCoforge is a global digital services and solutions provider, leveraging emerging technologies and deep domain expert...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4277238758&position=55&pageNum=0,2025-08-02 10:37:05
56,Machine Learning Engineer,Coforge,United States,"Requisition Title: Machine Learning Infrastructure EngineerLocation: 100% Remote Duration: 6+ months ContractLOOKING FOR Visa Independent/ W2 profiles  About the jobCompany DescriptionCoforge is a global digital services and solutions provider, leveraging emerging technologies and deep domain expert...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4273726045&position=56&pageNum=0,2025-08-02 10:37:07
57,Data Scientist,ImpetusIT,"Austin, TX","One of our staffing partners is helping a Healthcare client hire a Data Scientist to help build intelligent, scalable, and impactful AI-driven applications.

Salary offered $60-70k per year

Direct applicants only no c2c or company candidates due to low margins. The staffing company or client will r...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4274012972&position=57&pageNum=0,2025-08-02 10:37:09
58,AI/ML/DL Specialist,Adroit Innovative Solutions Inc,India,"Role : AI/ML/DL Specialist

Exp Level : 0-2 Years

Work Mode : Remote

Notice Period : Immediate / 15 Days

Role Summary:

We’re seeking a highly motivated and experienced AI/ML/DL Specialist with a strong foundation in contextual learning and language model development. You’ll play a key role in bu...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4278565118&position=58&pageNum=0,2025-08-02 10:37:11
59,Data Scientist,ElevenLabs,"New York, United States","This role is remote and can be executed globally. If you prefer, you can work from our offices in Bangalore, Dublin, London, New York, San Francisco, Tokyo, and Warsaw.




About ElevenLabs

ElevenLabs is a research and product company defining the frontier of Audio AI. Millions of individuals use E...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4200144176&position=59&pageNum=0,2025-08-02 10:37:13
60,Data Scientist,ElevenLabs,"New York, United States","This role is remote and can be executed globally. If you prefer, you can work from our offices in Bangalore, Dublin, London, New York, San Francisco, Tokyo, and Warsaw.About ElevenLabsElevenLabs is a research and product company defining the frontier of Audio AI. Millions of individuals use ElevenLa...",https://www.linkedin.com/jobs/search/?keywords=data%20scientist&location=Worldwide&f_WT=2&currentJobId=4278907938&position=60&pageNum=0,2025-08-02 10:37:15
